2026-04-01 19:48:20 | INFO     | PID:35688 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 19:48:20 | ERROR    | PID:35688 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: 'RedisKVAdapter'
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 19:58:21 | ERROR    | PID:28860 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 19:58:21 | INFO     | PID:19932 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 19:58:21 | ERROR    | PID:19932 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 19:58:21 | INFO     | PID:6404 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 19:58:21 | ERROR    | PID:6404 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 19:58:21 | INFO     | PID:27008 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 19:58:21 | ERROR    | PID:27008 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 19:58:21 | INFO     | PID:4232 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 19:58:21 | ERROR    | PID:4232 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 19:58:21 | INFO     | PID:39612 | agentkernel_distributed.mas.action.action:init:38 - Action Proxy: Initializing all managed components concurrently...
2026-04-01 19:58:21 | ERROR    | PID:39612 | agentkernel_distributed.mas.action.action:init:51 - Action Proxy: Error during concurrent component initialization: Can't instantiate abstract class BasicCommunicationPlugin with abstract method _log_action
2026-04-01 19:58:21 | INFO     | PID:28860 | agentkernel_distributed.mas.action.action:save_to_db:160 - Action Proxy: Saving state for all managed components...
2026-04-01 19:58:21 | WARNING  | PID:28860 | agentkernel_distributed.mas.action.action:save_to_db:176 - Action Proxy: A component failed to save state: Method 'save_to_db' not found in component 'communication'.
